Id,Target
v_009evckk5b_0000,1 533.545 1016.865 77.75 35.87 0;1 909.665 843.46 38.17 86.5 0;1 915.965 949.2 32.35 77.3 0;1 918.505 1048.55 35.61 62.9 0;1 932.185 399.935 35.25 81.19 346.35;1 962.46 888.865 33.82 76.87 0;1 966.34 1047.37 38 65.26 0;7 1680.19 132.055 118.4 49.67 0
v_009evckk5b_0024,1 532.54 1018.065 77.74 35.87 0;1 840.385 217.185 35.25 81.19 317.62;1 909.175 843.07 38.17 86.5 0;1 914.655 950.35 32.35 77.3 0;1 917.96 1048.55 36.7 62.9 0;1 962.49 844.99 33.82 76.86 0;1 967.19 984.34 38 82.24 0;1 1687.285 271.77 86.85 35.98 0;7 1343.1 130.19 111.62 49.68 0
v_009evckk5b_0049,1 532.78 1018.065 77.74 35.87 0;1 632.075 119.335 35.25 81.19 277.76;1 908.675 842.67 38.17 86.5 0;1 914.975 949.38 32.35 77.3 0;1 917.67 1048.55 37.28 62.9 0;1 962.49 844.675 33.82 76.87 0;1 964.835 1062.155 35.01 35.69 0;1 967.63 952.375 38 82.25 0;1 1044.585 277.085 82.29 35.97 0;7 1105.065 127.88 101.91 49.68 0
v_016is7moli_0000,1 691.945 500.475 99.85 44.67 0
v_016is7moli_0024,1 364.565 518.805 99.85 44.67 356.2;1 1011.165 849.53 44.05 100.2 0
v_016is7moli_0049,1 11.7 538.97 23.4 44.68 0.3;1 1003.72 742.945 44.06 94.09 358
v_01tp2eyell_0000,none
v_01tp2eyell_0024,1 1849.61 514.375 85.6 49.93 347.36
v_01tp2eyell_0049,1 1531.165 517.205 100.49 49.93 359.1
v_03ah598sio_0000,1 1097.695 534.495 103.77 47.49 0
v_03ah598sio_0024,1 824.71 528.165 103.78 47.49 0
v_03ah598sio_0049,1 446.9 520.425 103.78 47.49 0;1 1012.385 1015.57 38.69 98.54 0
v_03rc50t2e6_0000,8 1349.91 492.615 66.12 22.55 0
v_03rc50t2e6_0024,8 1297.27 500.92 66.12 22.56 341.24
v_03rc50t2e6_0049,8 1242.245 524.705 66.13 22.55 340.2
v_0482m44rij_0000,1 931.82 668.8 82.66 33.62 266.7;1 933.655 816.32 82.83 32.46 269.8;1 934.905 969.42 33.69 84.94 0;1 944.485 1058.7 42.25 31.66 270.7;1 954.245 133.62 36.59 80.8 0;1 991.63 899.56 86.14 34.84 269.8;1 998.865 644.685 37.35 86.77 356.1;1 1113.285 571.28 84.39 35.26 343.1;4 991.555 1058.74 41.71 38.2 270.1;7 957.15 284 52.6 187.64 0
v_0482m44rij_0024,1 933.11 861.2 83.1 32.46 269.8;1 933.025 723.415 82.67 33.63 267.5;1 934.775 993.655 33.69 84.93 0;1 950.415 235.64 36.59 80.8 0;1 955.74 114.85 39.4 85.24 0;1 944.26 1070.515 5.92 18.97 270.7;1 992.145 943.15 86.13 34.84 269.8;1 998.395 736.905 37.35 86.77 0.8;1 1001.905 32.7 37.05 65.4 0;1 1048.58 606.065 84.38 35.25 327.04;4 991.53 1067.515 10.94 24.97 270.1;7 955.7 369.76 52.6 173.16 0;7 1676.49 520.065 113.22 42.93 0
v_0482m44rij_0049,1 933.16 900.28 83.1 32.46 269.8;1 933.965 766.815 82.67 33.63 269.12;1 933.36 85.76 34.22 88.22 0;1 934.455 1048.39 33.69 63.16 0;1 947.705 303.11 36.59 80.8 0;1 950.58 196.8 39.4 85.24 0;1 991.86 977.93 86.14 34.84 269.8;1 1008.54 668.845 84.38 35.25 294.8;1 997.645 822.765 37.35 86.77 0.8;1 1001.045 240.825 36.03 85.35 0;7 953.68 457.735 52.6 173.97 0;7 1403.005 517.125 108.61 42.93 0
v_05id2q6r4r_0000,1 637.55 1060.94 73.62 36.42 5;1 696.875 1028.85 82.37 40.22 20.76;1 909.145 885.17 35.85 86.44 0;1 907.805 1000.77 32.91 81.16 0;1 952.86 986.27 30.38 82.42 0;1 963.675 874.1 33.57 75.38 0;1 1063.98 439.555 77.56 32.91 0;1 1400.72 424.73 86.66 37.6 0;4 1666.15 447.355 100.24 39.17 0.3;7 214.835 263.495 96.25 43.97 0;8 946.53 380.37 55.8 26.5 0
v_05id2q6r4r_0024,1 637.645 1060.91 73.63 36.42 5;1 909.005 885.535 35.85 86.45 0;1 908.085 1000.65 32.91 81.16 0;1 952.945 986.49 30.39 82.42 0;1 963.765 873.965 33.57 75.39 0;1 1507.38 436.235 77.88 32.91 0;1 1833.39 405.33 90.46 37.6 357.2;8 1203.335 376.83 53.95 26.5 0
v_05id2q6r4r_0049,1 637.745 1060.875 73.63 36.41 5;1 908.855 885.91 35.85 86.44 0;1 908.375 1000.52 32.91 81.16 0;1 953.04 986.72 30.38 82.42 0;1 963.855 873.82 33.57 75.38 0;7 1763.295 230.645 98.33 37.89 359.44;8 1474.055 374.76 58.75 26.5 0
v_05wejrqj6h_0000,1 168.455 530.16 109.05 53.86 0;1 1201.81 482.205 123.5 57.81 0;9 330.07 493.395 51.26 25.01 0
v_05wejrqj6h_0024,1 1071.74 485.265 123.5 57.81 0;9 8.35 505.22 16.7 25.02 0
v_05wejrqj6h_0049,1 836.555 487.455 123.51 57.81 0
